Athlete Name,Athlete Position,Athlete Groups,Start Date,Session Type,Segment Name,Duration (mins),Session Load,Distance (m),Metres per Minute (m),High Intensity Running (m),No. of High Intensity Events,Sprint Distance (m),No. of Sprints,Top Speed (m/s),Percentage of Max Speed,Avg Speed (m/s),Accelerations,Decelerations
Sami Lachekar,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,547.0,4460.0,52.0,0.0,0.0,0.0,0.0,5.4,0.0,0.9,42.0,30.0
Ben,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,509.0,4437.0,52.0,23.0,2.0,0.0,0.0,6.7,0.0,0.9,43.0,34.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,603.0,4414.0,52.0,41.0,4.0,0.0,0.0,6.4,0.0,0.9,47.0,37.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,651.0,4632.0,55.0,65.0,7.0,0.0,0.0,6.5,0.0,0.9,93.0,65.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,629.0,5174.0,61.0,100.0,9.0,7.0,1.0,6.9,0.0,1.0,53.0,51.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,414.0,3030.0,50.0,5.0,1.0,0.0,0.0,5.9,85.6,0.8,60.0,25.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,447.0,3108.0,52.0,32.0,4.0,0.0,0.0,6.3,96.8,0.9,81.0,41.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,411.0,3218.0,54.0,19.0,1.0,0.0,0.0,6.8,126.3,0.9,28.0,7.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,470.0,3336.0,56.0,18.0,2.0,0.0,0.0,6.2,96.5,0.9,52.0,24.0
Ben,Centre Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,379.0,2962.0,49.0,6.0,1.0,0.0,0.0,5.6,83.6,0.8,37.0,18.0
Téva Lossec,Left Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,757.0,4848.0,57.0,120.0,13.0,29.0,1.0,8.4,0.0,0.9,72.0,59.0
bautista schmidt,Left Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,562.0,4269.0,50.0,70.0,9.0,0.0,0.0,6.1,0.0,0.8,70.0,51.0
bautista schmidt,Left Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,435.0,3328.0,55.0,89.0,5.0,0.0,0.0,6.8,111.3,0.9,74.0,40.0
Téva Lossec,Left Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,508.0,3131.0,52.0,63.0,4.0,17.0,1.0,8.2,97.9,0.9,64.0,30.0
Trym Linberg,Right Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,649.0,4672.0,55.0,73.0,9.0,10.0,1.0,7.0,0.0,0.9,80.0,55.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,85.0,680.0,4867.0,57.0,72.0,9.0,0.0,0.0,6.5,0.0,1.0,83.0,60.0
Trym Linberg,Right Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,476.0,3270.0,55.0,28.0,3.0,20.0,1.0,7.6,108.9,0.9,89.0,34.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-08-05,Training Session,Whole Session,60.0,520.0,3489.0,58.0,78.0,6.0,30.0,2.0,8.5,130.8,1.0,55.0,27.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-08-05,Training Session,Whole Session,60.0,496.0,3431.0,57.0,37.0,4.0,0.0,0.0,6.9,0.0,1.0,51.0,20.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-08-05,Training Session,Whole Session,85.0,784.0,5165.0,61.0,76.0,9.0,0.0,0.0,6.5,0.0,1.0,68.0,63.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-08-05,Training Session,Whole Session,60.0,509.0,3469.0,58.0,75.0,5.0,21.0,1.0,7.7,117.9,1.0,59.0,22.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-08-05,Training Session,Whole Session,85.0,616.0,4727.0,56.0,73.0,8.0,0.0,0.0,6.8,0.0,0.9,64.0,49.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-08-05,Training Session,Whole Session,60.0,491.0,3500.0,58.0,50.0,6.0,15.0,1.0,7.6,111.8,1.0,66.0,22.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-08-05,Training Session,Whole Session,85.0,903.0,5647.0,66.0,63.0,6.0,0.0,0.0,6.8,0.0,1.1,77.0,64.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-08-05,Training Session,Whole Session,60.0,604.0,3633.0,61.0,11.0,2.0,0.0,0.0,5.7,85.2,1.0,74.0,28.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-08-05,Training Session,Whole Session,85.0,693.0,4407.0,52.0,74.0,9.0,4.0,1.0,7.1,0.0,0.9,56.0,64.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-08-05,Training Session,Whole Session,60.0,513.0,3191.0,53.0,73.0,8.0,44.0,2.0,8.0,112.2,0.9,71.0,25.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-08-05,Training Session,Whole Session,85.0,728.0,5544.0,65.0,25.0,3.0,22.0,1.0,7.6,0.0,1.1,77.0,56.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-08-05,Training Session,Whole Session,85.0,648.0,4740.0,56.0,26.0,4.0,0.0,0.0,6.4,0.0,0.9,69.0,62.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-08-05,Training Session,Whole Session,85.0,142.0,1537.0,18.0,0.0,0.0,0.0,0.0,4.5,0.0,0.3,6.0,0.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-08-05,Training Session,Whole Session,60.0,452.0,3497.0,58.0,27.0,3.0,0.0,0.0,6.0,79.8,1.0,59.0,29.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-08-05,Training Session,Whole Session,60.0,469.0,3381.0,56.0,21.0,3.0,0.0,0.0,6.1,95.6,0.9,69.0,16.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-08-05,Training Session,Whole Session,60.0,279.0,2096.0,35.0,0.0,0.0,0.0,0.0,4.5,100.5,0.6,15.0,2.0
Arnaud Tattevin,Centre Forward,UNCG,2025-08-05,Training Session,Whole Session,85.0,655.0,4356.0,51.0,86.0,9.0,0.0,0.0,7.0,0.0,0.9,55.0,43.0
Colton Sessoms,Centre Forward,UNCG,2025-08-05,Training Session,Whole Session,85.0,567.0,4457.0,52.0,52.0,9.0,0.0,0.0,6.5,0.0,0.9,58.0,40.0
Arnaud Tattevin,Centre Forward,UNCG,2025-08-05,Training Session,Whole Session,60.0,301.0,1893.0,32.0,0.0,0.0,0.0,0.0,5.5,77.8,0.5,27.0,6.0
Colton Sessoms,Centre Forward,UNCG,2025-08-05,Training Session,Whole Session,60.0,398.0,3162.0,53.0,14.0,1.0,0.0,0.0,6.3,98.0,0.9,58.0,17.0
Xavi Wences,Centre Midfielder,UNCG,2025-08-05,Training Session,Whole Session,85.0,660.0,4722.0,56.0,41.0,6.0,0.0,0.0,6.6,0.0,0.9,62.0,56.0
Daniel Longo,Centre Midfielder,UNCG,2025-08-05,Training Session,Whole Session,85.0,903.0,5840.0,69.0,52.0,5.0,0.0,0.0,6.8,0.0,1.1,63.0,44.0
Xavi Wences,Centre Midfielder,UNCG,2025-08-05,Training Session,Whole Session,60.0,477.0,3363.0,56.0,50.0,5.0,9.0,1.0,7.1,106.8,0.9,76.0,21.0
Daniel Longo,Centre Midfielder,UNCG,2025-08-05,Training Session,Whole Session,60.0,544.0,3545.0,59.0,26.0,4.0,0.0,0.0,5.8,85.6,1.0,60.0,26.0
Steven Hernandez,Left Winger,UNCG,2025-08-05,Training Session,Whole Session,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Hernandez,Left Winger,UNCG,2025-08-05,Training Session,Whole Session,60.0,353.0,2414.0,40.0,7.0,1.0,0.0,0.0,5.9,0.0,0.7,30.0,6.0
Enzo Dovlo,Right Winger,UNCG,2025-08-05,Training Session,Whole Session,85.0,627.0,4481.0,53.0,68.0,8.0,23.0,1.0,7.9,0.0,0.9,56.0,45.0
Adam Rustami,Right Winger,UNCG,2025-08-05,Training Session,Whole Session,85.0,673.0,4298.0,51.0,39.0,8.0,0.0,0.0,5.9,0.0,0.8,67.0,58.0
Adam Rustami,Right Winger,UNCG,2025-08-05,Training Session,Whole Session,60.0,475.0,3063.0,51.0,51.0,5.0,0.0,0.0,6.6,111.8,0.8,53.0,22.0
Enzo Dovlo,Right Winger,UNCG,2025-08-05,Training Session,Whole Session,60.0,476.0,3188.0,53.0,83.0,7.0,6.0,1.0,6.9,86.7,0.9,72.0,15.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,100.0,1026.0,7362.0,74.0,243.0,21.0,61.0,5.0,7.6,116.8,1.2,74.0,43.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,100.0,989.0,7000.0,70.0,107.0,10.0,0.0,0.0,6.9,101.1,1.2,46.0,29.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,100.0,1121.0,6995.0,70.0,203.0,24.0,93.0,7.0,8.0,124.8,1.2,50.0,50.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,100.0,907.0,6219.0,62.0,146.0,20.0,138.0,8.0,8.3,120.0,1.0,42.0,43.0
Ben,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,100.0,1224.0,7882.0,79.0,102.0,8.0,18.0,1.0,7.8,115.9,1.3,27.0,32.0
Ben,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,80.0,412.0,3402.0,43.0,18.0,2.0,0.0,0.0,6.3,93.6,0.7,42.0,17.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,80.0,465.0,3624.0,45.0,0.0,0.0,0.0,0.0,5.3,77.1,0.8,22.0,7.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,80.0,507.0,3740.0,47.0,0.0,0.0,0.0,0.0,5.7,88.3,0.8,45.0,18.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,80.0,358.0,3294.0,41.0,13.0,2.0,0.0,0.0,6.3,91.6,0.7,31.0,14.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,80.0,480.0,3666.0,46.0,29.0,3.0,0.0,0.0,6.5,100.8,0.8,49.0,31.0
bautista schmidt,Left Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,100.0,822.0,5300.0,53.0,255.0,20.0,53.0,5.0,7.7,113.1,0.9,55.0,71.0
Téva Lossec,Left Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,100.0,1494.0,8144.0,81.0,397.0,37.0,114.0,8.0,8.2,98.2,1.4,68.0,42.0
bautista schmidt,Left Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,80.0,488.0,3726.0,47.0,15.0,3.0,0.0,0.0,5.7,84.2,0.8,49.0,35.0
Téva Lossec,Left Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,80.0,609.0,3965.0,50.0,37.0,3.0,11.0,1.0,7.3,87.0,0.8,60.0,30.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,100.0,1217.0,7582.0,76.0,308.0,37.0,116.0,10.0,8.2,97.2,1.3,76.0,60.0
Trym Linberg,Right Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,100.0,1132.0,7776.0,78.0,414.0,45.0,223.0,14.0,8.4,109.7,1.3,86.0,83.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,80.0,559.0,3823.0,48.0,50.0,6.0,0.0,0.0,6.4,75.1,0.8,61.0,29.0
Trym Linberg,Right Back,"Defense, UNCG",2025-08-06,Training Session,Whole Session,80.0,367.0,2899.0,36.0,18.0,2.0,0.0,0.0,6.1,80.6,0.6,47.0,9.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-08-06,Training Session,Whole Session,100.0,1290.0,8183.0,82.0,358.0,35.0,56.0,3.0,7.8,113.9,1.4,76.0,62.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-08-06,Training Session,Whole Session,80.0,601.0,4251.0,53.0,14.0,2.0,0.0,0.0,6.3,91.3,0.9,34.0,38.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-08-06,Training Session,Whole Session,100.0,1398.0,8438.0,84.0,282.0,28.0,74.0,4.0,7.8,101.4,1.4,41.0,65.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-08-06,Training Session,Whole Session,80.0,444.0,3150.0,39.0,7.0,1.0,0.0,0.0,5.9,76.7,0.7,32.0,14.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-08-06,Training Session,Whole Session,100.0,819.0,5665.0,57.0,154.0,21.0,85.0,5.0,7.8,102.4,0.9,50.0,44.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-08-06,Training Session,Whole Session,80.0,396.0,2947.0,37.0,0.0,0.0,0.0,0.0,5.5,72.4,0.6,39.0,8.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-08-06,Training Session,Whole Session,100.0,1758.0,9141.0,91.0,278.0,28.0,47.0,3.0,7.6,105.1,1.5,57.0,65.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-08-06,Training Session,Whole Session,80.0,616.0,3951.0,49.0,33.0,5.0,10.0,1.0,7.2,107.1,0.8,53.0,34.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-08-06,Training Session,Whole Session,100.0,839.0,4265.0,43.0,130.0,13.0,41.0,2.0,7.9,98.9,0.7,38.0,38.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-08-06,Training Session,Whole Session,80.0,542.0,3607.0,45.0,27.0,2.0,0.0,0.0,6.9,86.8,0.8,51.0,31.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-08-06,Training Session,Whole Session,100.0,888.0,5637.0,56.0,115.0,15.0,0.0,0.0,6.5,102.6,0.9,40.0,45.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-08-06,Training Session,Whole Session,100.0,1065.0,6864.0,69.0,166.0,13.0,0.0,0.0,6.8,127.2,1.1,39.0,63.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-08-06,Training Session,Whole Session,100.0,1283.0,8851.0,89.0,205.0,22.0,42.0,2.0,7.7,101.4,1.5,45.0,46.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-08-06,Training Session,Whole Session,80.0,482.0,3934.0,49.0,4.0,1.0,0.0,0.0,5.6,73.5,0.8,48.0,26.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-08-06,Training Session,Whole Session,80.0,364.0,2901.0,36.0,0.0,0.0,0.0,0.0,5.0,79.0,0.6,28.0,13.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-08-06,Training Session,Whole Session,80.0,517.0,3731.0,47.0,0.0,0.0,0.0,0.0,5.3,118.7,0.8,49.0,22.0
Colton Sessoms,Centre Forward,UNCG,2025-08-06,Training Session,Whole Session,100.0,1114.0,7732.0,77.0,193.0,21.0,87.0,6.0,7.8,112.2,1.3,40.0,48.0
Arnaud Tattevin,Centre Forward,UNCG,2025-08-06,Training Session,Whole Session,100.0,1012.0,5809.0,58.0,319.0,29.0,61.0,5.0,8.5,120.9,1.0,38.0,53.0
Arnaud Tattevin,Centre Forward,UNCG,2025-08-06,Training Session,Whole Session,80.0,703.0,4397.0,55.0,280.0,20.0,0.0,0.0,6.0,86.2,0.9,31.0,5.0
Colton Sessoms,Centre Forward,UNCG,2025-08-06,Training Session,Whole Session,80.0,470.0,3713.0,46.0,41.0,5.0,0.0,0.0,6.9,107.5,0.8,51.0,20.0
Xavi Wences,Centre Midfielder,UNCG,2025-08-06,Training Session,Whole Session,100.0,1304.0,8205.0,82.0,227.0,22.0,31.0,1.0,7.6,107.9,1.4,57.0,72.0
Daniel Longo,Centre Midfielder,UNCG,2025-08-06,Training Session,Whole Session,100.0,1566.0,8469.0,85.0,375.0,39.0,93.0,11.0,7.7,112.1,1.4,72.0,65.0
Daniel Longo,Centre Midfielder,UNCG,2025-08-06,Training Session,Whole Session,80.0,542.0,3867.0,48.0,17.0,2.0,0.0,0.0,6.2,90.6,0.8,41.0,20.0
Xavi Wences,Centre Midfielder,UNCG,2025-08-06,Training Session,Whole Session,80.0,506.0,3761.0,47.0,10.0,2.0,0.0,0.0,5.9,82.8,0.8,52.0,27.0
Steven Hernandez,Left Winger,UNCG,2025-08-06,Training Session,Whole Session,100.0,516.0,3220.0,32.0,241.0,16.0,163.0,7.0,7.8,122.2,0.5,18.0,11.0
Steven Hernandez,Left Winger,UNCG,2025-08-06,Training Session,Whole Session,80.0,674.0,4609.0,58.0,367.0,19.0,0.0,0.0,6.4,107.5,1.0,35.0,7.0
Adam Rustami,Right Winger,UNCG,2025-08-06,Training Session,Whole Session,100.0,1304.0,7406.0,74.0,163.0,13.0,30.0,2.0,7.9,119.6,1.2,50.0,56.0
Enzo Dovlo,Right Winger,UNCG,2025-08-06,Training Session,Whole Session,100.0,1291.0,7912.0,79.0,442.0,42.0,149.0,10.0,8.2,103.1,1.3,81.0,79.0
Adam Rustami,Right Winger,UNCG,2025-08-06,Training Session,Whole Session,80.0,400.0,2671.0,33.0,5.0,1.0,0.0,0.0,5.8,87.9,0.6,28.0,17.0
Enzo Dovlo,Right Winger,UNCG,2025-08-06,Training Session,Whole Session,80.0,514.0,3629.0,45.0,22.0,3.0,15.0,1.0,7.4,93.2,0.8,44.0,17.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-08-07,Training Session,Whole Session,85.0,647.0,4341.0,51.0,122.0,15.0,31.0,3.0,7.8,102.6,0.8,80.0,38.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-08-07,Training Session,Whole Session,85.0,351.0,3289.0,39.0,0.0,0.0,0.0,0.0,5.4,78.1,0.6,25.0,9.0
Ben,Centre Back,"Defense, UNCG",2025-08-07,Training Session,Whole Session,85.0,513.0,4033.0,47.0,87.0,6.0,0.0,0.0,6.9,89.2,0.8,53.0,26.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-08-07,Training Session,Whole Session,85.0,594.0,4205.0,49.0,40.0,4.0,0.0,0.0,6.4,80.3,0.8,60.0,28.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-08-07,Training Session,Whole Session,85.0,638.0,5130.0,60.0,168.0,15.0,66.0,6.0,7.4,89.6,1.0,55.0,32.0
bautista schmidt,Left Back,"Defense, UNCG",2025-08-07,Training Session,Whole Session,85.0,641.0,4573.0,54.0,278.0,24.0,42.0,4.0,7.5,97.1,0.9,68.0,37.0
Téva Lossec,Left Back,"Defense, UNCG",2025-08-07,Training Session,Whole Session,85.0,698.0,4387.0,52.0,90.0,11.0,16.0,2.0,7.5,89.3,0.9,69.0,22.0
Trym Linberg,Right Back,"Defense, UNCG",2025-08-07,Training Session,Whole Session,85.0,589.0,4411.0,52.0,161.0,15.0,62.0,4.0,7.9,94.2,0.9,66.0,30.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-08-07,Training Session,Whole Session,85.0,650.0,4391.0,52.0,145.0,15.0,45.0,3.0,8.1,95.4,0.9,62.0,43.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-08-07,Training Session,Whole Session,85.0,498.0,3885.0,46.0,128.0,17.0,9.0,1.0,7.5,95.4,0.8,49.0,21.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-08-07,Training Session,Whole Session,85.0,599.0,4139.0,49.0,47.0,4.0,0.0,0.0,6.4,82.1,0.8,47.0,33.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-08-07,Training Session,Whole Session,85.0,607.0,4579.0,54.0,135.0,10.0,0.0,0.0,6.7,86.8,0.9,64.0,27.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-08-07,Training Session,Whole Session,85.0,622.0,4007.0,47.0,67.0,8.0,0.0,0.0,6.3,83.3,0.8,58.0,37.0
Issah Haruna,Centre Attacking Midfielder,UNCG,2025-08-07,Training Session,Whole Session,85.0,413.0,3046.0,36.0,58.0,8.0,0.0,0.0,6.3,78.8,0.6,33.0,10.0
Magnus Kjoeller,Centre Defensive Midfielder,UNCG,2025-08-07,Training Session,Whole Session,85.0,478.0,3980.0,47.0,109.0,10.0,0.0,0.0,6.7,88.0,0.8,47.0,20.0
Robert elliott,Centre Defensive Midfielder,UNCG,2025-08-07,Training Session,Whole Session,85.0,468.0,3569.0,42.0,17.0,3.0,0.0,0.0,6.1,94.1,0.7,50.0,33.0
julien le bourdoulous,Centre Defensive Midfielder,UNCG,2025-08-07,Training Session,Whole Session,85.0,451.0,3616.0,43.0,9.0,2.0,0.0,0.0,5.7,83.7,0.7,38.0,19.0
Arnaud Tattevin,Centre Forward,UNCG,2025-08-07,Training Session,Whole Session,85.0,541.0,3734.0,44.0,157.0,14.0,0.0,0.0,7.2,85.3,0.7,52.0,33.0
Colton Sessoms,Centre Forward,UNCG,2025-08-07,Training Session,Whole Session,85.0,447.0,3552.0,42.0,140.0,13.0,0.0,0.0,6.6,84.9,0.7,53.0,33.0
Daniel Longo,Centre Midfielder,UNCG,2025-08-07,Training Session,Whole Session,85.0,578.0,4162.0,49.0,113.0,11.0,8.0,1.0,7.4,96.5,0.8,53.0,38.0
Xavi Wences,Centre Midfielder,UNCG,2025-08-07,Training Session,Whole Session,85.0,468.0,3648.0,43.0,71.0,9.0,0.0,0.0,6.1,80.3,0.7,49.0,30.0
Steven Hernandez,Left Winger,UNCG,2025-08-07,Training Session,Whole Session,85.0,466.0,3505.0,41.0,121.0,9.0,13.0,1.0,7.3,93.3,0.7,40.0,17.0
Adam Rustami,Right Winger,UNCG,2025-08-07,Training Session,Whole Session,85.0,583.0,3907.0,46.0,90.0,13.0,0.0,0.0,6.4,81.0,0.8,46.0,36.0
Enzo Dovlo,Right Winger,UNCG,2025-08-07,Training Session,Whole Session,85.0,626.0,4542.0,53.0,179.0,17.0,26.0,3.0,7.3,89.2,0.9,53.0,33.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,95.0,389.0,3315.0,35.0,0.0,0.0,0.0,0.0,5.5,69.0,0.6,39.0,23.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,95.0,480.0,3788.0,40.0,17.0,3.0,0.0,0.0,6.1,77.6,0.7,64.0,37.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,95.0,462.0,4259.0,45.0,78.0,11.0,42.0,4.0,7.6,91.9,0.7,32.0,27.0
Ben,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,95.0,322.0,2980.0,31.0,0.0,0.0,0.0,0.0,5.2,67.0,0.5,28.0,17.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,95.0,306.0,3099.0,33.0,9.0,1.0,0.0,0.0,6.1,88.3,0.5,18.0,11.0
Jason Wynia,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,60.0,178.0,1723.0,29.0,75.0,7.0,19.0,2.0,7.2,87.4,0.5,9.0,10.0
Ben,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,60.0,188.0,1678.0,28.0,0.0,0.0,0.0,0.0,5.4,69.6,0.5,22.0,12.0
Mason Dancy,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,60.0,158.0,1507.0,25.0,12.0,1.0,0.0,0.0,6.2,78.0,0.4,11.0,5.0
Mohammed Sumaila,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,60.0,176.0,1550.0,26.0,17.0,3.0,7.0,1.0,7.2,92.5,0.4,19.0,8.0
Sami Lachekar,Centre Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,60.0,100.0,1389.0,23.0,0.0,0.0,0.0,0.0,4.4,63.1,0.4,10.0,1.0
bautista schmidt,Left Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,95.0,360.0,3180.0,33.0,67.0,6.0,0.0,0.0,6.7,87.5,0.6,45.0,26.0
Téva Lossec,Left Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,95.0,613.0,4308.0,45.0,18.0,2.0,0.0,0.0,6.0,71.6,0.8,54.0,40.0
Téva Lossec,Left Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,60.0,353.0,2332.0,39.0,61.0,9.0,23.0,2.0,7.7,91.8,0.6,27.0,20.0
bautista schmidt,Left Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,60.0,140.0,1393.0,23.0,24.0,3.0,9.0,1.0,7.3,94.5,0.4,15.0,9.0
Trym Linberg,Right Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,95.0,468.0,3796.0,40.0,57.0,6.0,0.0,0.0,6.7,80.8,0.7,52.0,32.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,95.0,532.0,3978.0,42.0,90.0,9.0,26.0,3.0,7.5,88.9,0.7,64.0,26.0
Kimito Fritz,Right Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,60.0,298.0,2217.0,37.0,55.0,6.0,28.0,2.0,7.5,88.6,0.6,23.0,12.0
Trym Linberg,Right Back,"Defense, UNCG",2025-08-08,Training Session,Whole Session,60.0,172.0,1427.0,24.0,29.0,3.0,5.0,1.0,7.0,83.4,0.4,14.0,9.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-08-08,Training Session,Whole Session,95.0,497.0,3984.0,42.0,47.0,7.0,0.0,0.0,6.3,80.8,0.7,54.0,35.0
Pablo Torre,Centre Forward,"FORWARDS, UNCG",2025-08-08,Training Session,Whole Session,60.0,198.0,1725.0,29.0,37.0,5.0,0.0,0.0,6.1,77.8,0.5,18.0,6.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-08-08,Training Session,Whole Session,95.0,545.0,3899.0,41.0,78.0,7.0,0.0,0.0,6.9,88.3,0.7,40.0,23.0
Mason Poveromo,Left Winger,"FORWARDS, UNCG",2025-08-08,Training Session,Whole Session,60.0,228.0,1748.0,29.0,78.0,6.0,0.0,0.0,6.7,85.6,0.5,10.0,5.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-08-08,Training Session,Whole Session,95.0,398.0,3442.0,36.0,16.0,3.0,0.0,0.0,5.8,74.6,0.6,50.0,24.0
Ethan lam,Centre Attacking Midfielder,"MIDS, UNCG",2025-08-08,Training Session,Whole Session,60.0,162.0,1315.0,22.0,44.0,5.0,10.0,1.0,7.3,93.7,0.4,9.0,3.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-08-08,Training Session,Whole Session,95.0,659.0,4347.0,46.0,72.0,9.0,0.0,0.0,6.4,84.8,0.8,68.0,32.0
Sigurd,Centre Midfielder,"MIDS, UNCG",2025-08-08,Training Session,Whole Session,60.0,175.0,1348.0,22.0,19.0,2.0,0.0,0.0,6.3,82.7,0.4,13.0,6.0
